页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,5284062722001784,厨艺教程,2026-04-04 19:29:49,又到了吃龙虾的季节，不知道龙虾怎么做好吃的看好了，虾肉紧实Q弹，好吃到舔手指！#厨艺教程# 厨艺教程的微博视频 ,27,9,20,发布于 四川,内江,四川,中国
1,5288774762498607,雪的似水年华,2026-04-17 19:33:47,#虾黄到底能不能吃#又到吃小龙虾的季节，又开始争论一个问题：虾黄到底能不能吃，有人说虾黄是精华，有人说是脏东西；管他呢，想吃就吃，反正我喜欢吃。虾黄到底能不能吃 ,0,29,18,发布于 江苏,盐城,江苏,中国
1,5290831179155139,Yarenela,2026-04-23 11:45:15,生活中很大一部分的幸福是源于美好的食物十年前爱吃的古面条 还是原来的味道儿子周末在家也时常点菜了“妈妈，晚上能给我做个可乐鸡翅么”“妈妈，你做的蒜蓉小龙虾最好吃咯”“妈妈，待会儿做炒蛋炒饭我想自己煎蛋？”妹妹的嘴巴最甜“妈妈，你再尝一口嘛（伸手给我喂到嘴边）”“真美味！（比个大拇指证明）”小孩子的彩虹屁总是能吹到心坎儿里…,0,0,0,发布于 四川,成都,四川,中国
1,5290830551842870,幸运金元宝,2026-04-23 11:42:44,#生活手记#昨天晚上又吃了三斤小龙虾完全不像减肥人士！现在又吃着一大碗隔夜饭 ,0,0,0,发布于 湖北,,湖北,中国
1,5290830244876543,blingbling闪闪亮亮_,2026-04-23 11:41:32,吃完了肥美Q弹的大个儿小龙虾，我正专心致志打字，一回头小搭拎了两条花瓣手串，怎么一把年纪了还能被少女事物吸引住出发去下一站喽 ,0,0,0,发布于 江苏,徐州,江苏,中国
1,5290773366964465,说球的王子星,2026-04-23 07:55:30,恭喜全NBA最爱吃小龙虾的凯尔登约翰逊拿到今年的最佳第六人，马刺队本赛季收下的第二个赛季个人荣誉 ,0,4,40,发布于 北京,北京,北京,中国
1,5290792830635672,售货员小菜,2026-04-23 09:12:52,昨天又吃了。感觉很不错，确实高品质。但是我吃小龙虾的时候，大大的虾头扔掉，我就会觉得很可惜。虽然知道是不能吃的，就应该扔掉。但是扔掉的时候就会忍不住觉得可惜 ,0,68,86,发布于 河北,保定,河北,中国
2,5290828316278790,不上高四的桉宸,2026-04-23 11:33:51,含桉量 82%歇斯底里是崩溃，底里歇斯是美味图一:有时候喜欢去朋友家住可能是因为，喜欢和朋友吃饭，尤其是朋友煮的；图二:量很大的水煮肉片，是顿很撑的午餐；图三:在外卖平台上看到的包心鸡排，没有想象中的好吃；图四:很美味的田鸡啊超爱的，好久没吃到这么好吃哒；图五:美味小龙虾啊好像到小龙虾的季节了，那我将吃很多；图六:连续吃了两天，真的很美味啊（这三张都来自同一家店，是厦门的 超跑龙虾，有去厦门的小伙伴可以试试啊，我跟我朋友都很爱，但千人千味哈哈觉得不好吃就当我没说）图七:心心念念的云南菜吃上了，水性杨花还不错之前看老baby们吃就一直想试试；图八:我有点喜欢这家鸡公煲了，拉着我妹又去吃了一次；图九:跟hl一起出去吃饭啊啊啊九敏，其实我还是接受不了我的朋友已经生子了这个事实，这是我第一次和她还有她的娃一起吃饭啊啊啊#不可辜负的美食##我的美食日记# 我许愿我日日餐餐都能吃饱，上班真的快饿死好难吃的饭，因为我准备发一条“工作餐特辑”，细品之后简直拉爆了啊,0,1,2,发布于 福建,泉州,福建,中国
2,5290827800119304,三年二班卞对对,2026-04-23 11:31:49,#卞对对探店日记# 娘子饭店传统苏帮菜·松鼠桂鱼·大闸蟹📍石路美食街接仙坊20号来苏州的第二天，姐姐就有点想念江西菜了我和丸子完全被激活了江苏血脉基因，真的非常爱苏州菜这家也是巷子里的老店，因为不是很饿就没多点，冰镇小龙虾是熟醉的口味，如果不是错过了螃蟹季节我必来苏州狂吃醉蟹！！！这家黄酒味太重了，压过了虾的味道，但是食材是还不错的！我和姐姐一人来了一碗桂花糖水鸡米头，丸子不爱吃，这点我很意外🤣她竟然也有不爱吃的糖水金花菜这家店的不如珍珠饭店的好吃，可能是少了蚌肉所以少了一点鲜味，但是也是好吃的！蟹粉豆腐也很鲜！下饭神器，但我和老姐没吃饭也两个人吃了一盘松鼠桂鱼超好吃！！！！强烈推荐～ 里面的鱼骨都酥脆到可以吃，这道菜丸子也很爱，因为是酸甜口的～蟹粉狮子头里面还有马蹄增加了一丝风味！吃完我们就去万象天地溜达消食啦,0,0,0,发布于 江西,南昌,江西,中国
2,5290827794350990,仍未被灯火照亮的荒原,2026-04-23 11:31:48,回武汉了！IP变回去之前记录一下吃了非常美味的炒菜和小龙虾还有烧烤，喝了奶昔和奶茶总之我都很喜欢，我每天就这样把自己当猪养。很遗憾起晚了没吃上空友推的贝果好难过，也没给我蹭上酒店早餐，一头猪想到这里就开始哭（。。。）急死我了我下次一定过来专门大吃。酒店……好便宜？！订酒店的时候觉得它便宜得都不像这家酒店本店了，运气好好啊嘿嘿。地理位置也喜欢，属于下次来长沙如果价格合适的话会继续住然后美美缩房间里点外卖的一家（！）其实出行也很方便，但是我ddl没赶完所以一直在边哭边工。下次我要在没有ddl的时候再来玩一次TT饭相关我是猪我全世界最惦记吃饭，没吃到踩雷的，顺便带了我觉得好吃的小零食回家，饭很好吃我下次还来（怎么又说。有点想剪vlog因为玩得还挺开心的，可惜时间很赶下午还得回武汉所以没玩尽兴😢总之下次再见吧&gt;&lt;,0,1,4,发布于 湖南,长沙,湖南,中国
